Date,Open,High,Low,Close
04/21/2026,98.06,98.57,98.06,98.39
04/20/2026,98.28,98.4,98.01,98.1
04/17/2026,98.19,98.29,97.63,98.1
04/16/2026,98.01,98.29,97.83,98.22
04/15/2026,98.07,98.29,98.01,98.06
04/14/2026,98.37,98.41,97.97,98.12
04/13/2026,99.05,99.18,98.36,98.37
04/10/2026,98.87,99.01,98.54,98.65
04/09/2026,99.06,99.16,98.63,98.82
04/08/2026,98.95,99.18,98.53,99.13
04/07/2026,100.01,100.16,99.52,99.86
04/06/2026,100.18,100.29,99.76,99.98
04/03/2026,99.54,100.26,99.45,100.03
04/02/2026,99.54,100.26,99.45,100.03
04/01/2026,99.79,99.88,99.3,99.65
03/31/2026,100.59,100.64,99.81,99.96
03/30/2026,100.22,100.61,100.05,100.51
03/27/2026,99.87,100.21,99.8,100.15
03/26/2026,99.63,100.01,99.56,99.9
03/25/2026,99.2,99.67,99.07,99.6
03/24/2026,99.14,99.62,99.06,99.43
03/23/2026,99.68,100.15,98.88,98.95
03/20/2026,99.29,99.79,99.25,99.65
03/19/2026,100.23,100.31,98.98,99.23
03/18/2026,99.55,100.31,99.47,100.09
03/17/2026,99.86,100.12,99.5,99.58
03/16/2026,100.43,100.48,99.66,99.71
03/13/2026,99.69,100.54,99.59,100.36
03/12/2026,99.45,99.76,99.25,99.74
03/11/2026,98.94,99.3,98.7,99.23
03/10/2026,98.8,98.95,98.49,98.83
03/09/2026,98.86,99.7,98.7,99.18
03/06/2026,99.01,99.44,98.84,98.99
03/05/2026,98.77,99.41,98.67,99.32
03/04/2026,99.11,99.33,98.7,98.77
03/03/2026,98.56,99.68,98.44,99.05
03/02/2026,97.87,98.75,97.77,98.38
02/27/2026,97.75,97.85,97.56,97.61
02/26/2026,97.85,98.0,97.62,97.7
02/25/2026,97.85,98.0,97.62,97.7
02/24/2026,97.7,97.99,97.7,97.84
02/23/2026,97.7,97.85,97.36,97.71
02/20/2026,97.9,98.08,97.59,97.8
02/19/2026,97.73,98.07,97.57,97.93
02/18/2026,97.14,97.74,97.12,97.7
02/17/2026,97.12,97.55,97.07,97.16
02/16/2026,96.94,97.16,96.8,96.92
02/13/2026,96.94,97.16,96.8,96.92
02/12/2026,96.96,97.07,96.74,96.93
02/11/2026,96.91,97.27,96.49,96.83
02/10/2026,97.0,97.01,96.61,96.8
02/09/2026,97.7,97.76,96.79,96.82
02/06/2026,97.97,97.95,97.56,97.63
02/05/2026,97.67,97.99,97.61,97.82
02/04/2026,97.43,97.73,97.31,97.62
02/03/2026,97.52,97.69,97.3,97.44
02/02/2026,97.19,97.73,97.01,97.63
01/30/2026,96.17,97.15,96.32,96.99
01/29/2026,96.16,96.66,96.02,96.28
01/28/2026,95.97,96.79,95.86,96.45
01/27/2026,97.05,97.29,95.55,96.22
01/26/2026,97.03,97.33,96.81,97.04
01/23/2026,98.33,98.48,97.43,97.6
01/22/2026,98.79,98.83,98.26,98.36
01/21/2026,98.61,98.87,98.38,98.76
01/20/2026,99.14,99.14,98.25,98.64
01/19/2026,99.37,99.48,99.16,99.39
01/16/2026,99.37,99.48,99.16,99.39
01/15/2026,99.13,99.49,99.09,99.32
01/14/2026,99.19,99.25,98.93,99.13
01/13/2026,98.9,99.23,98.85,99.13
01/12/2026,99.17,99.25,98.67,98.86
01/09/2026,98.91,99.26,98.9,99.13
01/08/2026,98.74,98.98,98.68,98.93
01/07/2026,98.58,98.75,98.5,98.68
01/06/2026,98.41,98.63,98.16,98.58
01/05/2026,98.48,98.86,98.25,98.27
01/02/2026,98.24,98.49,98.15,98.42
01/01/2026,98.25,98.5,98.18,98.32
12/31/2025,98.25,98.5,98.18,98.32
12/30/2025,98.01,98.27,97.94,98.24
12/29/2025,98.05,98.18,97.92,98.04
12/26/2025,97.92,98.13,97.86,98.02
12/25/2025,97.89,98.01,97.75,97.98
12/24/2025,97.89,98.01,97.75,97.95
12/23/2025,98.2,98.2,97.85,97.94
12/22/2025,98.67,98.73,98.2,98.29
12/19/2025,98.46,98.75,98.42,98.6
12/18/2025,98.38,98.56,98.17,98.43
12/17/2025,98.21,98.64,98.18,98.37
12/16/2025,98.27,98.32,97.87,98.15
12/15/2025,98.4,98.48,98.14,98.31
12/12/2025,98.32,98.53,98.3,98.4
12/11/2025,98.56,98.76,98.13,98.35
12/10/2025,99.22,99.26,98.59,98.79
12/09/2025,99.05,99.31,98.95,99.22
12/08/2025,98.97,99.23,98.79,99.09
12/05/2025,99.04,99.13,98.81,98.99
12/04/2025,98.92,99.08,98.77,98.99
12/03/2025,99.28,99.29,98.82,98.85
12/02/2025,99.45,99.57,99.32,99.36
12/01/2025,99.48,99.51,99.01,99.41
11/28/2025,99.57,99.82,99.38,99.46
11/27/2025,99.84,99.96,99.56,99.6
11/26/2025,99.84,99.96,99.56,99.6
11/25/2025,100.21,100.26,99.65,99.66
11/24/2025,100.2,100.3,100.01,100.14
11/21/2025,100.16,100.4,99.99,100.18
11/20/2025,100.17,100.36,100.03,100.16
11/19/2025,99.58,100.24,99.49,100.23
11/18/2025,99.56,99.66,99.4,99.55
11/17/2025,99.27,99.6,99.25,99.59
11/14/2025,99.26,99.4,98.99,99.3
11/13/2025,99.52,99.59,98.99,99.16
11/12/2025,99.46,99.71,99.42,99.5
11/11/2025,99.66,99.74,99.29,99.44
11/10/2025,99.63,99.74,99.46,99.59
11/07/2025,99.76,99.87,99.4,99.6
11/06/2025,100.11,100.11,99.67,99.73
11/05/2025,100.18,100.36,100.06,100.2
11/04/2025,99.98,100.26,99.74,100.22
11/03/2025,99.75,99.99,99.71,99.87
10/31/2025,99.49,99.84,99.42,99.8
10/30/2025,99.14,99.72,98.92,99.53
10/29/2025,98.74,99.36,98.62,99.22
10/28/2025,98.75,98.95,98.57,98.67
10/27/2025,98.84,99.0,98.73,98.78
10/24/2025,98.94,99.1,98.73,98.95
10/23/2025,98.92,99.14,98.91,98.94
10/22/2025,98.97,99.14,98.79,98.9
10/21/2025,98.61,98.98,98.51,98.93
10/20/2025,98.67,98.67,98.39,98.59
10/17/2025,98.26,98.55,98.03,98.43
10/16/2025,98.67,98.7,98.3,98.34
10/15/2025,99.05,99.08,98.66,98.79
10/14/2025,99.3,99.48,98.99,99.05
10/13/2025,98.94,99.35,98.83,99.27
10/10/2025,99.39,99.43,98.81,98.98
10/09/2025,98.84,99.56,98.7,99.54
10/08/2025,98.61,99.06,98.59,98.92
10/07/2025,98.09,98.66,98.09,98.58
10/06/2025,97.96,98.5,97.96,98.11
10/03/2025,97.85,97.95,97.6,97.72
10/02/2025,97.7,98.13,97.52,97.85
10/01/2025,97.82,97.88,97.46,97.71
09/30/2025,97.91,98.05,97.63,97.78
09/29/2025,98.17,98.18,97.77,97.91
09/26/2025,98.5,98.53,98.13,98.15
09/25/2025,97.82,98.61,97.74,98.55
09/24/2025,97.24,97.92,97.22,97.87
09/23/2025,97.32,97.46,97.2,97.26
09/22/2025,97.65,97.82,97.3,97.34
09/19/2025,97.34,97.81,97.27,97.64
09/18/2025,96.93,97.6,96.84,97.35
09/17/2025,96.62,97.07,96.22,96.87
09/16/2025,97.34,97.39,96.56,96.63
09/15/2025,97.63,97.7,97.27,97.3
09/12/2025,97.52,97.86,97.49,97.55
09/11/2025,97.79,98.09,97.47,97.53
09/10/2025,97.83,97.93,97.6,97.78
09/09/2025,97.38,97.82,97.25,97.79
09/08/2025,97.79,97.94,97.42,97.45
09/05/2025,98.24,98.26,97.43,97.77
09/04/2025,98.15,98.44,98.08,98.35
09/03/2025,98.4,98.64,98.01,98.14
09/02/2025,97.65,98.6,97.62,98.4
09/01/2025,97.87,98.13,97.69,97.77
08/29/2025,97.87,98.13,97.69,97.77
08/28/2025,98.12,98.23,97.74,97.81
08/27/2025,98.25,98.73,98.16,98.23
08/26/2025,98.47,98.56,98.09,98.23
08/25/2025,97.73,98.54,97.71,98.43
08/22/2025,98.6,98.83,97.56,97.72
